USER	FOLLOWERS
larryalex5555	17
Geoffmuse	1440
rsko83	236
timgollins	4151
pluto_network	1252
wospworkshop	201
WaelKholakyy	6
vneblitt	93
Michael21870514	406
SugarRuy	0
MarthaBunton	652
m_nsiddique	100
mir_smi	88
chaiTnCode	54
maheedhargunnam	63
edsu	6191
BabaKristian	5744
ScHealyire	549
KHayhoe	169374
hstrelecki	280
WebArch_RT	1502
UKWebArchive	6298
KRGilbertson	931
mekdl59	5
aleebrahim	2570
PlinioHVargas	50
grantcatkins	99
Raj78888100	18
ruebot	1644
BreitingerC	157
enigmaticocean	1270
BelaGipp	298
ashley247	1104
quilldir	1209
jasminemulliken	552
MarkGraham	2950
NYhuman	2365
BabithaBokka	3
anjacks0n	2972
e_mccain	550
lisawilliams	6621
nanopub_org	527
heenalsanghvi	0
Hussam_A_Hallak	79
pj_webster	3589
AntonJRasmussen	6
debberli	19
cazzerson	1151
katestarbird	31128
Vendett26972328	13
ChiefScientist	5452
Chopper_Boy	15485
ChrisAldrich	2520
oducs	358
sheershasamach1	87
ccweigle	2
jcdl2017	214
Manoj_Chandra11	47
Tunaz_Islam	92
mridulish	3
FredericikB	470
archiveis	3335
Mementoweb	129
Doorcow	2668
vphill	1196
RyanDeschamps	3450
Faryane	57
alabarga	1703
helgeho	192
JASIST	4354
normeu	98
DanKerchner	363
LizzyInfo101	295
nyarcist	1075
MyriamCTraub	206
jessogden	2292
Mohamma47262302	9
amlhasbat	2
doviethung	17
KarenKvaughan	4
iq136boy	2
ianmilligan1	5178
LarryWilson1942	27
Maria_Brid	848
manoj_chandra_k	10
johnaberlin	189
erikaris	319
moffattchristie	114
WHRO	3967
keesone	1177
topgolfvabeach	2920
ptrourke	198
jayaikat	14
kaylamarie0110	29
Thaer_samar	19
ClaytonMccallum	26
cbmrccc	1770
DavidGotz	503
jcdl2016	128
ijdl	185
AutonomyIncub8r	650
valeriepotter31	68
WesFelDAAC	1
hdo003	1
involutish	5
liczumacamigo5	148
iFromm	1143
HamptonRFinest	2583
hokie4kids	15
lemoine_al	83
vincelebow	926
kingswebit	117
FFuqiang	409
CAredwoodGrl	48
NgYewli	13
okzach	118
docmattweber	1584
brianwc	766
FreeLawProject	6064
NetPreserve	3353
bigstotle	9
getasijimyni	117
AliShamim333	9
joc7188	50
CorrenMcCoy	61
artlibrariannyc	421
JessiDG	1793
athurman	284
technelily	391
JCDLConf	267
KhaledAusMainz	10
Seekjesusnow	189
reepete20	4
Moha_Magdy	760
mamaj1953	13
landlibrarian	1384
HouseofMadclass	109
raweigle1	6
aag1091	648
maherzog	456
LMForensics	37
GetDownODU	284
liblaura	789
bindonlane	607
LulwahMA	72
acnwala	357
momof3inov	10
kaskekanke	576
LittlePeteHX853	268
perrycollins	1311
Lmalongo2	480
fmccown	410
maturban1	173
this_phillips	221
kcare704	43
bobbymclark	40
DrDanetteAllen	251
joseph_deanna	33
TamerRagaee	33
elizabethagan	5604
ShanaJones71	192
archiveitorg	7179
denimsmith	716
EgglestonChad	312
KristenWaltersL	10
obfern	12
AnnaPerricci	770
NancyAjarmeh	364
JenServenti	4133
nullhandle	1225
shawnmjones	560
phonedude_mln	1132
WebSciDL	585
samy_tawab	280
jschneider	3333
atomotic	1141
abettlam	24
mcdonald	2743
douglasbechara	75
tmblairla	684
ehetzner	71
hanysalaheldeen	184
ibnesayeed	747
mhdfadhil	359
babbiep	146
cbrittpeterson	73
jasonhcook	430
msmelaniemills	34
christawells	2586
queenborgtweets	1371
aheshamSalem	244
UCampusODU	584
freegovinfo	1432
agrotke	1765
EkinNefes	1
jcdl2013	277
mqbarrett	206
mattbryant01	63
PoppaTiger1	216
ScottGAinsworth	152
WSDLtest	2
mart1nkle1n	931
Chisellaw	14
rachelheldevans	163388
emilyfruge1974	82
yasmina_anwar	461
machawk1	624
pixprin	465
aalsum	386
mandyemcmichael	491
AprilinNC	28
justinfbrunelle	312
mousta	429
WndringAramean	73
BrianAcomedian	415
